fulltext_url,title,work_url,work_type,contributor,publisher,date,type,format,extent,language,subject,spatial,is_part_of,identifier,rights,fulltext_url_text,catalogue_url
https://nla.gov.au/nla.obj-385884993,The New South Wales calendar and general post office directory.,https://trove.nla.gov.au/work/10613582,"Microform | Periodical | Periodical/Journal, magazine, other",,"Sydney : Stephens & Stokes,",1832,still image | text,microfiche | volume,6 volumes : illustrations ; 20 cm.,,"Almanacs, Australian -- New South Wales. | New South Wales -- Directories. | Roads -- Australia -- New South Wales. | Roads -- New South Wales.",u-at-ne,,AuCNLKIN: 000010344606 | OCoLC: 1029651115,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-54119543,Report of the Board for the Protection of the Aborigines.,https://trove.nla.gov.au/work/10653589,"Government publication | Periodical | Periodical/Journal, magazine, other",Victoria. Board for the Protection of the Aborigines | Victoria. Parliament,"Melbourne : Robt. S. Brain, Govt. Printer,",1895,text,volume,volumes ; 34 cm.,,Aboriginal Australians -- Australia -- Victoria -- Periodicals. | Aboriginal Australians -- Victoria -- Periodicals. | Victoria. Board for the Protection of the Aborigines -- Periodicals.,u-at-vi,,AuCNLKIN: 000010352115 | OCoLC: 221526098,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-3095063927,The home builders annual.,https://trove.nla.gov.au/work/10709401,"Periodical | Periodical/Journal, magazine, other",,[Brisbane] : [Penrod Press],1938,text,volume,volumes : illustrations ; 28 cm.,,"Architecture, Domestic -- Australia -- Periodicals. | Dwellings -- Australia -- Remodeling. | Dwellings -- Remodeling -- Australia. | House construction -- Australia -- Periodicals. | House furnishings -- Australia -- Periodicals.",u-at---,,AuCNLKIN: 000010369110 | OCoLC: 221593061,,National Library of Australia digitised item. Nq 643.10994 HOM copy,
https://nla.gov.au/nla.obj-1393799271,The Sydney protestant magazine.,https://trove.nla.gov.au/work/10753345,"Periodical | Periodical/Journal, magazine, other",,"Sydney : Printed at the Herald office,",1840,,volume,1 Volume.,,Protestantism -- New South Wales -- Periodicals. | Protestantism -- Periodicals.,u-at-ne,,AuCNLKIN: 000010395955 | OCoLC: 221652297,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-748141557,The New South Wales school magazine of literature for our boys and girls.,https://trove.nla.gov.au/work/10753694 | https://trove.nla.gov.au/work/238053149,"Periodical | Periodical/Journal, magazine, other",New South Wales. Department of Education,"Sydney : New South Wales Department of Education,",1950,still image | text,online resource | volume,1 online resource : illustrations. | 10 volumes ; 24 cm.,,Australian periodicals -- New South Wales -- Sydney. | Readers (Primary) -- Periodicals. | Sydney (N.S.W.) -- Periodicals.,u-at-ne,series: Digitised newspapers and more.,AuCNLKIN: 000010396034 | AuCNLKIN: 000066487838 | OCoLC: 1137559243 | OCoLC: 221652879,,"Issues available online Vol. 35, no. 1 (Feb. 1, 1950)- Vol. 39 No. 9 (Nov. 4, 1954) | National Library of Australia digitised item",
https://nla.gov.au/nla.obj-265488023,Jewish missionary intelligence.,https://trove.nla.gov.au/work/10831898,"Periodical | Periodical/Journal, magazine, other",London Society for Promoting Christianity Amongst the Jews,"[London : London Society for Promoting Christianity Amongst the Jews,",1893,,volume,v. ; 25-29 cm.,,Christianity and other religions -- Judaism -- Periodicals. | Judaism -- Relations -- Christianity -- Periodicals. | Missions to Jews -- Periodicals.,,,AuCNLKIN: 000025394918 | OCoLC: 6217464,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-497748158,The Romsey annual ...,https://trove.nla.gov.au/work/10833470,"Periodical | Periodical/Journal, magazine, other",,"Romsey, Printed by H. C. White at the office of the Romsey examiner.",18uu,,volume,v. ; 22 cm.,,Romsey (Vic.) -- Directories. | Romsey (Vic.) -- History -- Periodicals.,u-at-vi,,AuCNLKIN: 000010433149 | OCoLC: 221424194,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-569758446,"Report / St. Mary's Hospital, Hobart.",https://trove.nla.gov.au/work/10888103,"Periodical | Periodical/Journal, magazine, other","St. Mary's Hospital (Hobart, Tas.)","Hobart, The Hospital.",18uu,,volume,volumes ; 22 cm.,,"Hospitals -- Tasmania -- Hobart -- Administration -- Periodicals. | St. Mary's Hospital (Hobart, Tas.) -- Periodicals.",u-at-tm,,AuCNLKIN: 000010466270 | OCoLC: 221459366,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-18233880,Stanley Gibbons priced catalogue of war stamps.,https://trove.nla.gov.au/work/10892341,"Periodical | Periodical/Journal, magazine, other","Phillips, Charles J. (Charles James), 1863-1940. | Stanley Gibbons Ltd",London : Stanley Gibbons Ltd.,191u,,volume,volumes ; 18 cm.,,"Postage stamps -- Catalogs. | World War, 1914-1918 -- Postal service.",,,AuCNLKIN: 000010467631 | OCoLC: 42342043,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-1388274688,Colonial literary journal and weekly miscellany of useful information.,https://trove.nla.gov.au/work/10934438,"Microform | Periodical | Periodical/Journal, magazine, other","Reading, James. | Sandoe, Francis.","Sydney : Printed and published by James Reading and Francis Sandoe, at the General Printing Office,",1844,,volume,2 volumes ; 29 cm.,,Literature -- Periodicals.,,,AuCNLKIN: 000004979825 | OCoLC: 173355913,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-1394058185,The Port Phillip magazine.,https://trove.nla.gov.au/work/10934610,"Microform | Periodical | Periodical/Journal, magazine, other",,"Melbourne : Port Phillip Magazine,",1843,,volume,volumes : illustrations ; 22 cm.,,Great Britain -- Colonies -- Periodicals. | Victoria -- History -- 1834-1900 -- Periodicals.,,series: Rex Nan Kivell Collection ; NK1140.,AuCNLKIN: 000008068077 | OCoLC: 221165293,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-693985683,Spring exhibition : catalogue / Art Society of New South Wales.,https://trove.nla.gov.au/work/10944344,"Periodical | Periodical/Journal, magazine, other",Art Society of New South Wales,Sydney : Art Society of New South Wales.,18uu,,volume,v. : ill ; 15 cm.,,"Art -- New South Wales -- Sydney -- Exhibitions -- Periodicals. | Painting, Australian -- Exhibitions -- Periodicals.",u-at-ne,,AuCNLKIN: 000010491375 | OCoLC: 221521553,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-73519713,"The N.S.W. Red Cross record / The Australian Red Cross Society, N.S.W. Division.",https://trove.nla.gov.au/work/10955755,"Periodical | Periodical/Journal, magazine, other",Australian Red Cross Society. New South Wales Division,"Sydney : The Division,",1914,,volume,v. ; 25 cm.,,Australian Red Cross Society. New South Wales Division -- Periodicals. | Social service -- New South Wales -- Periodicals.,u-at-ne,,AuCNLKIN: 000010493692 | OCoLC: 221537148,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-2879738467,Everybody's Tasmanian almanac.,https://trove.nla.gov.au/work/11112421,"Periodical | Periodical/Journal, magazine, other",,"Launceston, Tas. : Hudson & Hopwood,",18uu,text,volume,volumes ; 21 cm.,,"Almanacs, Australian -- Tasmania -- Periodicals. | Tasmania -- History -- 1851-1901 -- Sources -- Periodicals.",u-at-tm,,AuCNLKIN: 000010560711 | OCoLC: 221736527,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-554406117,The New South Wales Aborigines' advocate : a monthly record of missionary work amongst the Aborigines / issued under the auspices of the N.S.W. Aborigines' Mission.,https://trove.nla.gov.au/work/11182910,"Microform | Periodical | Periodical/Journal, magazine, other | Periodical/Newspaper",N.S.W. Aborigines' Mission.,"Leichhardt, [N.S.W.] : T.E. Colebrook,",1901,still image | text,microfilm reel | online resource | volume,1 online resource : illustrations. | 80 no. ; 28 cm.,,Aboriginal Australians -- Missions -- Newspapers. | Aboriginal Australians -- Missions -- Periodicals. | Australian periodicals -- New South Wales -- Sydney. | Sydney (N.S.W.) -- Periodicals.,u-at--- | u-at-ne,series: Digitised newspapers and more.,AuCNLKIN: 000004777385 | AuCNLKIN: 000066496724 | OCoLC: 1138103568 | OCoLC: 220079068,,"Issues available online No. 1 (July 23, 1901)-no. 80 (Feb. 29, 1908) | National Library of Australia digitised item",
https://nla.gov.au/nla.obj-566923190,Walkabout.,https://trove.nla.gov.au/work/11231162,"Periodical | Periodical/Journal, magazine, other",Australian Geographical Society | Australian National Publicity Association | Australian National Travel Association,"Melbourne : Australian National Travel Association,",1934,still image | text,volume,"volumes : illustrations, maps. ; 28 cm.",,Australia -- Description and travel -- Periodicals. | Australia. | Cultural heritage. | Culture. | Economic sectors - Tourism. | Economic sectors -- Tourism. | Geography. | New Zealand (N.Z.) | New Zealand (NZ) | Papua New Guinea (PNG) | Travel.,u-at---,series: Rex Nan Kivell Collection ; NK10898.,AuCNLKIN: 000000891242 | OCoLC: 1769362,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-233469844,Geographical handbook series.,https://trove.nla.gov.au/work/11259714,"Government publication | Periodical | Periodical/Journal, magazine, other",,[Great Britain] : Naval Intelligence Division.,1941,,volume,31 in 58 v. : ill. ; 23 cm.,,"Description and travel. | Great Britain -- Armed Forces -- Handbooks, manuals, etc. | Military geography -- Handbooks, manuals, etc.",,,AuCNLKIN: 000000904010 | OCoLC: 12218983,,National Library of Australia digitised item. Loose maps from rear pockets of volumes,
https://nla.gov.au/nla.obj-3047299629,Transactions. Series A / Institute of Marine Engineers.,https://trove.nla.gov.au/work/11263063,"Periodical | Periodical/Journal, magazine, other",Institute of Marine Engineers,"London : Semerney for the Institute of Marine Engineers,",1973,,volume,4 v. : ill. ; 30 cm.,,Marine engineering -- Periodicals.,,,AuCNLKIN: 000000906899 | OCoLC: 219836207,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-310385031,Pacific islands monthly : PIM.,https://trove.nla.gov.au/work/11299027,"Microform | Periodical | Periodical/Journal, magazine, other",,"[Sydney : Pacific Publications,",1930,text,volume,volume : illustrations ; 28-42 cm.,,Islands of the Pacific -- Periodicals. | OCEANIA. | Oceania -- Periodicals. | Oceania. | Océanie -- Périodiques.,po-----,series: Borrow Collection,AuCNLKIN: 000000932682 | OCoLC: 1606263,,National Library of Australia digitised item. N 919 PAC copy,
https://nla.gov.au/nla.obj-3140364009,The seagull.,https://trove.nla.gov.au/work/11306467,"Periodical | Periodical/Journal, magazine, other",Tweed River High School,Tweed Heads : Tweed River High School.,1962,,volume,v. ; 22-25 cm.,,Tweed River High School.,,,AuCNLKIN: 000000938413 | OCoLC: 219843633,,National Library of Australia digitised item. N 373.9443 SEA copy,
https://nla.gov.au/nla.obj-58441779,The Yellow book : an illustrated quarterly.,https://trove.nla.gov.au/work/11315353,"Microform | Periodical | Periodical/Journal, magazine, other","Beardsley, Aubrey, 1872-1898,","London : Elkin Mathews & John Lane ; Boston : Copeland & Day,",1894,still image | text,volume,13 volumes : ill ; 21 cm.,,"Aesthetic movement (Art) -- Periodicals. | Aesthetic movement (British art) -- Periodicals. | Art, English -- Periodicals. | English literature -- 19th century -- Periodicals. | English literature -- 20th century -- Periodicals. | English literature -- History and criticism. | English literature -- Periodicals. | Great Britain -- Periodicals. | Literature, Modern -- 19th century -- Periodicals.",e-uk---,,AuCNLKIN: 000000947519 | OCoLC: 173339614,,5 plates from vol. 2 (July 1894) issue,
https://nla.gov.au/nla.obj-850515166,Australian foreign affairs record.,https://trove.nla.gov.au/work/11359965,"Government publication | Periodical | Periodical/Journal, magazine, other",Australia. Department of Foreign Affairs,"[Canberra : Australian Govt. Pub. Service],",1973,text,volume,16 volumes : illustrations ; 25-30 cm.,,Australia -- Foreign economic relations -- Periodicals. | Australia -- Foreign relations -- Periodicals. | Australia. | Australie -- Relations extérieures -- Périodiques. | Buitenlandse betrekkingen. | Diplomatic relations. | International relations -- Periodicals. | World politics -- Periodicals.,u-at---,,AuCNLKIN: 000000970044 | OCoLC: 1786196,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-1289348688,Australia's external aid.,https://trove.nla.gov.au/work/11364972,"Government publication | Periodical | Periodical/Journal, magazine, other",Australia | Australia. Treasury,"Canberra : Australian Govt. Pub. Service,",1974,text,volume,v. ; 25 cm.,,"Budget -- Australia -- Periodicals. | Economic assistance, Australian -- Periodicals. | Economic assistance, Australian. | Military assistance, Australian -- Periodicals. | Military assistance, Australian.",u-at---,"series: Budget related paper (Canberra, A.C.T.) ; no. 9. | series: Parliamentary paper (Australia. Parliament)",AuCNLKIN: 000000973659 | OCoLC: 1789882,,National Library of Australia digitised item. Nq 328.94 AUS copy,
https://nla.gov.au/nla.obj-50585420,Revue francaise d'histoire du livre.,https://trove.nla.gov.au/work/11366316,"Periodical | Periodical/Journal, magazine, other",Societe francaise d'histoire du livre. | Société des bibliophiles de Guyenne,Bordeaux : Societe des bibliophiles de Guyenne.,1971,text,volume,v. : ill. ; 26 cm.,,Bibliothèques -- Périodiques. | Boeken. | Books -- History -- Periodicals. | Books. | France. | French imprints -- Periodicals. | French imprints. | Geschichte | Imprimés français -- Périodiques. | Libraries -- France -- Periodicals. | Libraries. | Livres -- Histoire -- Périodiques.,e-fr---,,AuCNLKIN: 000000975175 | OCoLC: 1791119,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-3030182939,Employment and unemployment / Commonwealth Bureau of Census and Statistics.,https://trove.nla.gov.au/work/11375351,"Government publication | Periodical | Periodical/Journal, magazine, other",Australian Bureau of Statistics | Commonwealth Bureau of Census and Statistics (Australia),"Canberra : Commonwealth Bureau of Census and Statistics,",1963,,volume,175 v. : ill. ; 30-33 cm.,,Labor supply -- Australia -- Statistics -- Periodicals.,u-at---,,AuCNLKIN: 000002504722 | OCoLC: 1796717,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-669358358,Australian fisheries.,https://trove.nla.gov.au/work/11377030,"Government publication | Periodical | Periodical/Journal, magazine, other",Australia. Fisheries Branch | Australia. Fisheries Division | Australian Fisheries Management Authority | Australian Fisheries Service,"Canberra : Fisheries Division, Dept. of Primary Industry, | [Canberra, A.C.T.] : [Fisheries Branch, Dept. of Primary Industry],",1969,text,volume,27 volumes : illustrations ; 25-30 cm.,,Australia. | Australian | Fisheries -- Australia -- Periodicals. | Fisheries -- Periodicals. | Fisheries. | Fishing -- Australia -- Periodicals. | Fishing industry -- Australia. | Visserij.,u-at---,,AuCNLKIN: 000000983079 | AuCNLKIN: 000023985595 | OCoLC: 7622794,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-20211747,Second Brigade monthly notes.,https://trove.nla.gov.au/work/11380575,"Periodical | Periodical/Journal, magazine, other",Second Infantry Brigade Depot (Vic.),"[Melbourne : The Second Infantry Brigade Depot],",1917,,volume,1 Volume.,,"Australia -- Armed Forces -- Periodicals. | Australia. Army. Infantry Brigade, 2nd -- Periodicals. | Second Infantry Brigade Depot (Vic.) -- Periodicals.",u-at---,,AuCNLKIN: 000010673424 | OCoLC: 221492367,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-182026026,Transactions and proceedings of the Fiji Society.,https://trove.nla.gov.au/work/11381759,"Periodical | Periodical/Journal, magazine, other",Fiji Society.,"Suva : The Society,",1948,text,volume,v. ; 24 cm.,,Fiji -- Periodicals. | Fiji Society -- Periodicals. | Fiji. | Serial,pofj---,,AuCNLKIN: 000000986387 | OCoLC: 3081954,,National Library of Australia digitised item,
https://nla.gov.au/nla.obj-753479079,The Sydney coronal / By Charles M'Donald. | The Sydney coronal / by Charles M'Donald.,https://trove.nla.gov.au/work/11415630 | https://trove.nla.gov.au/work/238055834,"Periodical | Periodical/Journal, magazine, other","M'Donald, Charles, active 1838. | M'Donald, Charles.","Sydney : Edward Smith Hall,",1835,text,online resource | volume,1 Volume. | 1 online resource.,,Australian periodicals -- New South Wales -- Sydney. | Australian poetry -- Periodicals. | Sydney (N.S.W.) -- Periodicals.,u-at--- | u-at-ne,series: Digitised newspapers and more.,AuCNLKIN: 000010691611 | AuCNLKIN: 000066490058 | OCoLC: 1137728823 | OCoLC: 221524709,,Issues available online No. 1 (Oct. 1835)-no. 6 (Apr. 1836) | National Library of Australia digitised item,
https://nla.gov.au/nla.obj-185947039,Report of the Van Diemen's Land Colonial Missionary and Christian Instruction Society : in connexion with the Van Diemen's Land Congregational Union.,https://trove.nla.gov.au/work/11426469,"Periodical | Periodical/Journal, magazine, other",Van Diemen's Land Colonial Missionary and Christian Instruction Society. | Van Diemen's Land Congregational Union.,"Hobart Town, Tas. : Van Diemen's Land Colonial Missionary and Christian Instruction Society.",183u,,volume,volumes ; 22 cm.,,Missions -- Tasmania -- Periodicals. | Van Diemen's Land Colonial Missionary and Christian Instruction Society -- Periodicals.,u-at-tm,,AuCNLKIN: 000010695366 | OCoLC: 221537176,,National Library of Australia digitised item. PETH pam 2171 copy,
https://nla.gov.au/nla.obj-232725556,Catalogus van Nederlandsche zeekaarten en boekwerken uitgegeven door de Afdeeling Hydrografie van het Ministerie van Defensie = Catalogue of charts and books published by the Hydrographic Section of the Netherlands Department of Defence.,https://trove.nla.gov.au/work/11429011,"Periodical | Periodical/Journal, magazine, other",Netherlands. Afdeling Hydrografie.,['s Gravenhage : De Gebroeders van Cleef],18uu,,volume,"v. : ill., maps ; 28 cm.",,Indonesia -- Maps -- Bibliography. | Nautical charts -- Indonesia -- Bibliography. | Nautical charts -- Netherlands -- Bibliography. | Nautical charts -- Netherlands Antilles -- Bibliography. | Netherlands -- Maps -- Bibliography. | Netherlands Antilles -- Maps -- Bibliography.,a-io--- | e-ne--- | nwna---,,AuCNLKIN: 000010696314 | AuCNLKIN: 000075487918 | OCoLC: 221540749,,"National Library of Australia digitised item. Index der zeekaarten van den Oost-Indischen Archipel, Westblad, 1:3,7500,000, 1941",
